,Equipe,PDV,Taille,Poids,Unit,Exp,Pays
Nathan Knight,MIN,F-C,2.08,114.8,kg,1,États-Unis
Kevin KnoxII,NYK,F,2.01,97.5,kg,3,États-Unis
John Konchar,MEM,G,1.96,95.3,kg,2,États-Unis
Furkan Korkmaz,PHI,G-F,2.01,91.6,kg,4,Turquie
Vit Krejci,OKC,G,2.03,88.5,kg,0,République_tchèque
Arnoldas Kulboka,CHA,F,2.08,94.8,kg,0,Lituanie
Jonathan Kuminga,GSW,F,2.01,102.1,kg,0,République_Démocratique_du_Congo
Kyle Kuzma,WAS,F,2.06,100.2,kg,4,États-Unis
Zach LaVine,CHI,G-F,1.96,90.7,kg,7,États-Unis
Jeremy Lamb,IND,G-F,1.96,81.6,kg,9,États-Unis
Jock Landale,SAS,C,2.11,115.7,kg,0,Australie
Romeo Langford,BOS,G-F,1.96,98.0,kg,2,États-Unis
Jake Layman,MIN,F,2.03,94.8,kg,5,États-Unis
Caris LeVert,IND,G,1.98,93.0,kg,5,États-Unis
Damion Lee,GSW,G-F,1.96,95.3,kg,4,États-Unis
Saben Lee,DET,G,1.88,83.0,kg,1,États-Unis
Alex Len,SAC,C,2.13,113.4,kg,8,Ukraine
Kawhi Leonard,LAC,F,2.01,102.1,kg,10,États-Unis
Scottie Lewis,CHA,G,1.96,83.9,kg,0,États-Unis
Kira LewisJr.,NOP,G,1.85,77.1,kg,1,États-Unis
Damian Lillard,POR,G,1.88,88.5,kg,9,États-Unis
Nassir Little,POR,F-G,1.96,99.8,kg,2,États-Unis
Isaiah Livers,DET,F,1.98,105.2,kg,0,États-Unis
Kevon Looney,GSW,F,2.06,100.7,kg,6,États-Unis
Brook Lopez,MIL,C,2.13,127.9,kg,13,États-Unis
Robin Lopez,ORL,C,2.13,127.5,kg,13,États-Unis
Didi Louzada,NOP,G,1.96,85.3,kg,1,Brésil
Kevin Love,CLE,F-C,2.03,113.9,kg,13,États-Unis
Kyle Lowry,MIA,G,1.83,88.9,kg,15,États-Unis
Timothe Luwawu-Cabarrot,ATL,G-F,2.01,97.5,kg,5,France
Trey Lyles,DET,F,2.06,106.1,kg,6,Canada
Theo Maledon,OKC,G,1.93,79.4,kg,1,France
Sandro Mamukelashvili,MIL,F-C,2.06,108.9,kg,0,Géorgie
Terance Mann,LAC,G-F,1.96,97.5,kg,2,États-Unis
Tre Mann,OKC,G,1.90,80.7,kg,0,États-Unis
Boban Marjanovic,DAL,C,2.21,131.5,kg,6,Serbie
Lauri Markkanen,CLE,F-C,2.11,108.9,kg,4,Finland
Naji Marshall,NOP,F,2.01,99.8,kg,1,États-Unis
Caleb Martin,MIA,F,1.96,93.0,kg,2,États-Unis
Cody Martin,CHA,F,1.98,93.0,kg,2,États-Unis
Kelan Martin,IND,F,1.96,104.3,kg,2,États-Unis
Kenyon MartinJr.,HOU,F,1.96,97.5,kg,1,États-Unis
Garrison Mathews,HOU,G,1.96,97.5,kg,2,États-Unis
Tyrese Maxey,PHI,G,1.88,90.7,kg,1,États-Unis
Skylar Mays,ATL,G,1.93,93.0,kg,1,États-Unis
Miles McBride,NYK,G,1.85,88.5,kg,0,États-Unis
CJ McCollum,POR,G,1.90,86.2,kg,8,États-Unis
T.J. McConnell,IND,G,1.85,86.2,kg,6,États-Unis
Jaden McDaniels,MIN,F,2.06,83.9,kg,1,États-Unis
Jalen McDaniels,CHA,F-C,2.06,93.0,kg,2,États-Unis
Doug McDermott,SAS,F,2.01,102.1,kg,7,États-Unis
JaVale McGee,PHX,C-F,2.13,122.5,kg,13,États-Unis
Rodney McGruder,DET,G,1.93,93.0,kg,5,États-Unis
JaQuori McLaughlin,DAL,G,1.93,86.2,kg,0,États-Unis
Jordan McLaughlin,MIN,G,1.80,83.9,kg,2,États-Unis
Ben McLemore,POR,G,1.90,88.5,kg,8,États-Unis
De'Anthony Melton,MEM,G,1.88,90.7,kg,3,États-Unis
